,Rows:Columns,Difference,Pecentage difference,Frequency excess columns,Number of excess columns,Average excess
Genotype - Lineage,60:4,56,0.9333333333333333,0,0,na
Genotype - Clade,60:10,50,0.8333333333333334,0,0,na
Genotype - Sub-Clade,60:24,36,0.6,0,0,na
Genotype - Sub-sub-Clade,60:3,57,0.95,0,0,na
Genotype - Sub-sub-sub-Clade,60:5,55,0.9166666666666666,0,0,na
Genotype - SNP Address,60:2250,2190,0.9733333333333334,51,2242,43.96078431372549
Genotype - 250 SNP Threshold,60:7,53,0.8833333333333333,1,2,2.0
Genotype - 100 SNP Threshold,60:61,1,0.01639344262295082,18,53,2.9444444444444446
Genotype - 50 SNP Threshold,60:191,131,0.6858638743455497,35,178,5.085714285714285
Genotype - 25 SNP Threshold,60:465,405,0.8709677419354839,43,457,10.627906976744185
Genotype - 10 SNP Threshold,60:958,898,0.9373695198329853,50,953,19.06
Genotype - 5 SNP Threshold,60:1276,1216,0.9529780564263323,51,1272,24.941176470588236
Genotype - 0 SNP Threshold,60:2250,2190,0.9733333333333334,51,2242,43.96078431372549
Genotype - ST,60:2656,2596,0.9774096385542169,52,2648,50.92307692307692
Genotype - HC0 (indistinguishable),60:2289,2229,0.9737876802096985,52,2281,43.86538461538461
Genotype - HC2,60:1489,1429,0.9597044996642041,51,1481,29.03921568627451
Genotype - HC5,60:1030,970,0.941747572815534,50,1021,20.42
Genotype - HC10,60:607,547,0.9011532125205931,44,592,13.454545454545455
Genotype - HC20,60:217,157,0.7235023041474654,38,203,5.342105263157895
Genotype - HC50,60:33,27,0.45,5,12,2.4
Genotype - HC100,60:11,49,0.8166666666666667,2,5,2.5
Genotype - HC200,60:6,54,0.9,1,2,2.0
Genotype - HC400,60:2,58,0.9666666666666667,1,2,2.0
Genotype - HC1100 (cgST Cplx),60:1,59,0.9833333333333333,0,0,na
Genotype - HC1500,60:1,59,0.9833333333333333,0,0,na
Genotype - HC2000,60:1,59,0.9833333333333333,0,0,na
Genotype - HC2350 (subsp.),60:1,59,0.9833333333333333,0,0,na
Lineage - Genotype,4:60,56,0.9333333333333333,2,58,29.0
Lineage - Clade,4:10,6,0.6,2,14,7.0
Lineage - Sub-Clade,4:24,20,0.8333333333333334,2,30,15.0
Lineage - Sub-sub-Clade,4:3,1,0.25,1,3,3.0
Lineage - Sub-sub-sub-Clade,4:5,1,0.2,1,5,5.0
Lineage - SNP Address,4:2250,2246,0.9982222222222222,4,2250,562.5
Lineage - 250 SNP Threshold,4:7,3,0.42857142857142855,3,6,2.0
Lineage - 100 SNP Threshold,4:61,57,0.9344262295081968,4,61,15.25
Lineage - 50 SNP Threshold,4:191,187,0.9790575916230366,4,191,47.75
Lineage - 25 SNP Threshold,4:465,461,0.9913978494623656,4,465,116.25
Lineage - 10 SNP Threshold,4:958,954,0.9958246346555324,4,958,239.5
Lineage - 5 SNP Threshold,4:1276,1272,0.9968652037617555,4,1276,319.0
Lineage - 0 SNP Threshold,4:2250,2246,0.9982222222222222,4,2250,562.5
Lineage - ST,4:2656,2652,0.9984939759036144,4,2656,664.0
Lineage - HC0 (indistinguishable),4:2289,2285,0.9982525120139799,4,2289,572.25
Lineage - HC2,4:1489,1485,0.9973136333109469,4,1489,372.25
Lineage - HC5,4:1030,1026,0.996116504854369,4,1030,257.5
Lineage - HC10,4:607,603,0.9934102141680395,4,607,151.75
Lineage - HC20,4:217,213,0.9815668202764977,4,217,54.25
Lineage - HC50,4:33,29,0.8787878787878788,3,32,10.666666666666666
Lineage - HC100,4:11,7,0.6363636363636364,3,10,3.3333333333333335
Lineage - HC200,4:6,2,0.3333333333333333,2,4,2.0
Lineage - HC400,4:2,2,0.5,1,2,2.0
Lineage - HC1100 (cgST Cplx),4:1,3,0.75,0,0,na
Lineage - HC1500,4:1,3,0.75,0,0,na
Lineage - HC2000,4:1,3,0.75,0,0,na
Lineage - HC2350 (subsp.),4:1,3,0.75,0,0,na
Clade - Genotype,10:60,50,0.8333333333333334,7,57,8.142857142857142
Clade - Lineage,10:4,6,0.6,5,11,2.2
Clade - Sub-Clade,10:24,14,0.5833333333333334,6,38,6.333333333333333
Clade - Sub-sub-Clade,10:3,7,0.7,2,5,2.5
Clade - Sub-sub-sub-Clade,10:5,5,0.5,2,8,4.0
Clade - SNP Address,10:2250,2240,0.9955555555555555,9,2250,250.0
Clade - 250 SNP Threshold,10:7,3,0.3,5,12,2.4
Clade - 100 SNP Threshold,10:61,51,0.8360655737704918,8,62,7.75
Clade - 50 SNP Threshold,10:191,181,0.9476439790575916,8,192,24.0
Clade - 25 SNP Threshold,10:465,455,0.978494623655914,8,466,58.25
Clade - 10 SNP Threshold,10:958,948,0.9895615866388309,9,959,106.55555555555556
Clade - 5 SNP Threshold,10:1276,1266,0.9921630094043887,9,1277,141.88888888888889
Clade - 0 SNP Threshold,10:2250,2240,0.9955555555555555,9,2250,250.0
Clade - ST,10:2656,2646,0.9962349397590361,9,2655,295.0
Clade - HC0 (indistinguishable),10:2289,2279,0.9956312800349497,9,2288,254.22222222222223
Clade - HC2,10:1489,1479,0.9932840832773674,9,1488,165.33333333333334
Clade - HC5,10:1030,1020,0.9902912621359223,9,1029,114.33333333333333
Clade - HC10,10:607,597,0.9835255354200988,8,605,75.625
Clade - HC20,10:217,207,0.9539170506912442,8,216,27.0
Clade - HC50,10:33,23,0.696969696969697,8,32,4.0
Clade - HC100,10:11,1,0.09090909090909091,5,14,2.8
Clade - HC200,10:6,4,0.4,5,12,2.4
Clade - HC400,10:2,8,0.8,2,4,2.0
Clade - HC1100 (cgST Cplx),10:1,9,0.9,0,0,na
Clade - HC1500,10:1,9,0.9,0,0,na
Clade - HC2000,10:1,9,0.9,0,0,na
Clade - HC2350 (subsp.),10:1,9,0.9,0,0,na
Sub-Clade - Genotype,24:60,36,0.6,8,44,5.5
Sub-Clade - Lineage,24:4,20,0.8333333333333334,6,14,2.3333333333333335
Sub-Clade - Clade,24:10,14,0.5833333333333334,6,24,4.0
Sub-Clade - Sub-sub-Clade,24:3,21,0.875,2,4,2.0
Sub-Clade - Sub-sub-sub-Clade,24:5,19,0.7916666666666666,3,9,3.0
Sub-Clade - SNP Address,24:2250,2226,0.9893333333333333,22,2249,102.22727272727273
Sub-Clade - 250 SNP Threshold,24:7,17,0.7083333333333334,6,18,3.0
Sub-Clade - 100 SNP Threshold,24:61,37,0.6065573770491803,14,74,5.285714285714286
Sub-Clade - 50 SNP Threshold,24:191,167,0.8743455497382199,19,190,10.0
Sub-Clade - 25 SNP Threshold,24:465,441,0.9483870967741935,20,465,23.25
Sub-Clade - 10 SNP Threshold,24:958,934,0.9749478079331941,22,960,43.63636363636363
Sub-Clade - 5 SNP Threshold,24:1276,1252,0.9811912225705329,22,1278,58.09090909090909
Sub-Clade - 0 SNP Threshold,24:2250,2226,0.9893333333333333,22,2249,102.22727272727273
Sub-Clade - ST,24:2656,2632,0.9909638554216867,22,2654,120.63636363636364
Sub-Clade - HC0 (indistinguishable),24:2289,2265,0.9895150720838795,22,2287,103.95454545454545
Sub-Clade - HC2,24:1489,1465,0.9838817998656817,22,1487,67.5909090909091
