,Accession,Year,HC1100 (cgST Cplx),ST,HC2350 (subsp.),HC100,10 SNP Threshold,HC0 (indistinguishable),Clade,100 SNP Threshold,HC2,Sub-Clade,50 SNP Threshold,HC50,HC2000,Lineage,Sub-sub-sub-Clade,5 SNP Threshold,HC400,HC20,HC5,Sub-sub-Clade,HC200,Genotype,HC1500,0 SNP Threshold,250 SNP Threshold,HC10,SNP Address,25 SNP Threshold
0,SRR10005831,2019.0,2820.0,2.0,2820.0,2726.0,473.0,6.0,1656.0,1611.0,15.0,1656.0,1124.0,1656.0,2820.0,2735.0,557.0,18.0,2816.0,955.0,17.0,1042.0,2726.0,557.0,2820.0,1.0,2726.0,557.0,1.0,681.0
1,SRR10005842,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,3.0,1.0,3.0
2,SRR10005843,2019.0,2820.0,1.0,2820.0,2726.0,13.0,1.0,1032.0,859.0,7.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,9.0,2816.0,163.0,13.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
3,SRR10005849,2019.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,38.0,38.0,3.0,38.0,12.0,38.0,2820.0,2735.0,38.0,3.0,2816.0,33.0,3.0,38.0,2726.0,38.0,2820.0,1.0,2726.0,3.0,1.0,3.0
5,SRR10006170,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,1.0,1.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,1.0,1.0,1.0
6,SRR10013363,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,187.0,3.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
7,SRR10017960,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
8,SRR10017963,2019.0,2820.0,1.0,2820.0,2726.0,13.0,1.0,1032.0,859.0,7.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,9.0,2816.0,163.0,13.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
9,SRR10019095,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,2.0
10,SRR10019158,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,2.0
