,Accession,Year,HC2000,HC1100 (cgST Cplx),0 SNP Threshold,250 SNP Threshold,HC2350 (subsp.),HC1500,Sub-Clade,100 SNP Threshold,HC50,HC200,HC5,HC2,SNP Address,HC0 (indistinguishable),HC10,Clade,Lineage,5 SNP Threshold,10 SNP Threshold,Sub-sub-Clade,HC400,HC20,Genotype,ST,HC100,25 SNP Threshold,Sub-sub-sub-Clade,50 SNP Threshold
0,SRR10005831,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,6,557,1656,2735,18,473,1042,2816,955,557,2,2726,681,557,1124
1,SRR10005842,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,3,1656,2735,1,1,1042,2816,955,455,1,2726,3,455,1124
2,SRR10005843,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,13,7,1,1,16,1032,2735,9,13,185,2816,163,165,1,2726,151,165,164
3,SRR10005849,2019,2820,2820,1,2726,2820,2820,38,38,38,2726,3,3,1,1,3,38,2735,3,3,38,2816,33,38,1,2726,3,38,12
4,SRR10005855,2019,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,377,4,3,4,557,1656,2735,4,473,1042,2816,955,557,1,2726,681,557,1124
5,SRR10006170,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,42,1032,2735,1,31,734,2816,103,128,1,2726,47,734,124
6,SRR10013363,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,1,126,1,2726,1,614,1
7,SRR10017960,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,3,1,1,1,118,1032,2735,1,64,734,2816,187,259,1,2726,159,734,249
8,SRR10017963,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,1,1,1,118,1032,2735,1,64,734,2816,187,259,1,2726,159,734,249
9,SRR10019095,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,13,7,1,1,16,1032,2735,9,13,185,2816,163,165,1,2726,151,165,164
10,SRR10019158,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,2,455,1124
11,SRR10019371,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,1,2,1656,2735,2,2,1042,2816,955,455,1,2726,2,455,1124
12,SRR10036688,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
13,SRR10036691,2019,2820,2820,1,2726,2820,2820,38,38,38,2726,2,1,1,1,3,38,2735,1,2,38,2816,33,38,1,2726,3,38,12
14,SRR10037522,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,1,1,1,118,1032,2735,43,64,734,2816,187,259,1,2726,159,734,249
15,SRR10037526,2019,2820,2820,2,2726,2820,2820,1032,859,1005,2726,2,2,2,1,2,1032,2735,2,2,734,2816,103,128,1,2726,47,734,124
16,SRR10037531,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,3,2,2,1,18,1656,2735,3,3,1042,2816,19,455,1,2726,681,455,1124
17,SRR10037533,2019,2820,2820,2,2726,2820,2820,1032,859,1005,2726,21,2,2,2,22,1032,2735,18,21,734,2816,103,128,1,2726,21,734,124
18,SRR10037861,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,6,4,1,1,69,1656,2735,5,7,614,2816,91,127,1,2726,77,614,79
19,SRR10037874,2019,2820,2820,2,2726,2820,2820,1032,859,1005,2726,21,2,2,2,22,1032,2735,18,21,734,2816,103,128,1,2726,21,734,124
